r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.274189, 0.236271, 0.505957, 255, 255, 255, 150
0.271479, 0.234056, 0.344887, 255, 255, 255, 150
0.268770, 0.231840, 0.215901, 255, 255, 255, 150
0.290027, 0.239018, 1.000000, 255, 255, 255, 150
0.292737, 0.241233, 0.905574, 255, 255, 255, 150
0.295446, 0.243448, 0.672505, 255, 170, 255, 140
0.298156, 0.245664, 0.409558, 255, 85, 255, 130
0.300865, 0.247879, 0.204542, 255, 0, 255, 121
0.287317, 0.236802, 0.958312, 255, 255, 255, 150
0.284608, 0.234587, 0.843390, 255, 255, 255, 150
0.281898, 0.232371, 0.681654, 255, 255, 255, 150
0.279189, 0.230156, 0.505957, 255, 255, 255, 150
0.276479, 0.227940, 0.344887, 255, 255, 255, 150
0.273769, 0.225725, 0.215901, 255, 255, 255, 150
0.295027, 0.232902, 1.000000, 255, 170, 255, 140
0.297737, 0.235118, 0.902722, 255, 85, 255, 130
0.300446, 0.237333, 0.664072, 255, 85, 255, 130
0.303156, 0.239549, 0.398093, 255, 0, 255, 121
0.305865, 0.241764, 0.194474, 255, 0, 170, 111
0.292317, 0.230687, 0.908638, 255, 255, 255, 150
0.289608, 0.228471, 0.681654, 255, 255, 255, 150
0.286898, 0.226256, 0.422200, 255, 255, 255, 150
0.284189, 0.224041, 0.215901, 255, 255, 255, 150
0.300027, 0.226787, 1.000000, 255, 85, 255, 130
0.302737, 0.229003, 0.899741, 255, 0, 255, 121
0.305446, 0.231218, 0.655344, 255, 0, 170, 111
0.308156, 0.233433, 0.386416, 255, 0, 170, 111
0.310865, 0.235649, 0.184449, 255, 0, 85, 102
0.297317, 0.224572, 0.905574, 255, 85, 255, 130
0.294608, 0.222356, 0.672505, 255, 170, 255, 140
0.291898, 0.220141, 0.409558, 255, 255, 255, 150
0.289189, 0.217925, 0.204542, 255, 255, 255, 150
0.305027, 0.220672, 1.000000, 255, 0, 170, 111
0.307737, 0.222887, 0.893361, 255, 0, 170, 111
0.310446, 0.225103, 0.636954, 255, 0, 85, 102
0.313156, 0.227318, 0.362446, 255, 0, 0, 92
0.315865, 0.229534, 0.164601, 255, 0, 0, 92
0.302317, 0.218456, 0.899741, 255, 0, 255, 121
0.299608, 0.216241, 0.655344, 255, 85, 255, 130
0.296898, 0.214026, 0.386416, 255, 85, 255, 130
0.294189, 0.211810, 0.184449, 255, 170, 255, 140
0.310027, 0.214557, 1.000000, 255, 0, 85, 102
0.312737, 0.216772, 0.889508, 255, 0, 0, 92
0.315446, 0.218987, 0.626035, 255, 0, 0, 92
0.318156, 0.221203, 0.348616, 255, 0, 0, 83
0.320865, 0.223418, 0.153601, 255, 0, 0, 73
0.307317, 0.212341, 0.896623, 255, 0, 170, 111
0.304608, 0.210126, 0.646308, 255, 0, 255, 121
0.301898, 0.207910, 0.374532, 255, 0, 255, 121
0.299189, 0.205695, 0.174485, 255, 85, 255, 130
0.315027, 0.208441, 1.000000, 255, 0, 0, 92
0.317737, 0.210657, 0.885908, 255, 0, 0, 83
0.320446, 0.212872, 0.615964, 255, 0, 0, 73
0.323156, 0.215088, 0.336123, 255, 0, 0, 73
0.325865, 0.217303, 0.143953, 255, 0, 0, 64
